city	state_code	country	state_name
Acton	ACT	AU	Australian Capital Territory
Ainslie	ACT	AU	Australian Capital Territory
Amaroo	ACT	AU	Australian Capital Territory
Aranda	ACT	AU	Australian Capital Territory
Banks	ACT	AU	Australian Capital Territory
Barton	ACT	AU	Australian Capital Territory
Belconnen	ACT	AU	Australian Capital Territory
Bonner	ACT	AU	Australian Capital Territory
Bonython	ACT	AU	Australian Capital Territory
Braddon	ACT	AU	Australian Capital Territory
Bruce	ACT	AU	Australian Capital Territory
Calwell	ACT	AU	Australian Capital Territory
Campbell	ACT	AU	Australian Capital Territory
Canberra	ACT	AU	Australian Capital Territory
Casey	ACT	AU	Australian Capital Territory
Chapman	ACT	AU	Australian Capital Territory
Charnwood	ACT	AU	Australian Capital Territory
Chifley	ACT	AU	Australian Capital Territory
Chisholm	ACT	AU	Australian Capital Territory
City	ACT	AU	Australian Capital Territory
Conder	ACT	AU	Australian Capital Territory
Cook	ACT	AU	Australian Capital Territory
Coombs	ACT	AU	Australian Capital Territory
Crace	ACT	AU	Australian Capital Territory
Curtin	ACT	AU	Australian Capital Territory
Deakin	ACT	AU	Australian Capital Territory
Dickson	ACT	AU	Australian Capital Territory
Downer	ACT	AU	Australian Capital Territory
Duffy	ACT	AU	Australian Capital Territory
Dunlop	ACT	AU	Australian Capital Territory
Evatt	ACT	AU	Australian Capital Territory
Fadden	ACT	AU	Australian Capital Territory
Farrer	ACT	AU	Australian Capital Territory
Fisher	ACT	AU	Australian Capital Territory
Florey	ACT	AU	Australian Capital Territory
Flynn	ACT	AU	Australian Capital Territory
Forde	ACT	AU	Australian Capital Territory
Forrest	ACT	AU	Australian Capital Territory
Franklin	ACT	AU	Australian Capital Territory
Fraser	ACT	AU	Australian Capital Territory
Garran	ACT	AU	Australian Capital Territory
Gilmore	ACT	AU	Australian Capital Territory
Giralang	ACT	AU	Australian Capital Territory
Gordon	ACT	AU	Australian Capital Territory
Gowrie	ACT	AU	Australian Capital Territory
Greenway	ACT	AU	Australian Capital Territory
Griffith	ACT	AU	Australian Capital Territory
Gungahlin	ACT	AU	Australian Capital Territory
Hackett	ACT	AU	Australian Capital Territory
Harrison	ACT	AU	Australian Capital Territory
Hawker	ACT	AU	Australian Capital Territory
Higgins	ACT	AU	Australian Capital Territory
Holder	ACT	AU	Australian Capital Territory
Holt	ACT	AU	Australian Capital Territory
Hughes	ACT	AU	Australian Capital Territory
Isaacs	ACT	AU	Australian Capital Territory
Isabella Plains	ACT	AU	Australian Capital Territory
Kaleen	ACT	AU	Australian Capital Territory
Kambah	ACT	AU	Australian Capital Territory
Kingston	ACT	AU	Australian Capital Territory
Latham	ACT	AU	Australian Capital Territory
Lyneham	ACT	AU	Australian Capital Territory
Lyons	ACT	AU	Australian Capital Territory
Macarthur	ACT	AU	Australian Capital Territory
Macgregor	ACT	AU	Australian Capital Territory
Macquarie	ACT	AU	Australian Capital Territory
Mawson	ACT	AU	Australian Capital Territory
McKellar	ACT	AU	Australian Capital Territory
Melba	ACT	AU	Australian Capital Territory
Monash	ACT	AU	Australian Capital Territory
Narrabundah	ACT	AU	Australian Capital Territory
Ngunnawal	ACT	AU	Australian Capital Territory
Nicholls	ACT	AU	Australian Capital Territory
O'Connor	ACT	AU	Australian Capital Territory
Oxley	ACT	AU	Australian Capital Territory
Page	ACT	AU	Australian Capital Territory
Palmerston	ACT	AU	Australian Capital Territory
Pearce	ACT	AU	Australian Capital Territory
Phillip	ACT	AU	Australian Capital Territory
Red Hill	ACT	AU	Australian Capital Territory
Reid	ACT	AU	Australian Capital Territory
Richardson	ACT	AU	Australian Capital Territory
Rivett	ACT	AU	Australian Capital Territory
Scullin	ACT	AU	Australian Capital Territory
Spence	ACT	AU	Australian Capital Territory
Stirling	ACT	AU	Australian Capital Territory
Theodore	ACT	AU	Australian Capital Territory
Torrens	ACT	AU	Australian Capital Territory
Turner	ACT	AU	Australian Capital Territory
Wanniassa	ACT	AU	Australian Capital Territory
Waramanga	ACT	AU	Australian Capital Territory
Watson	ACT	AU	Australian Capital Territory
Weetangera	ACT	AU	Australian Capital Territory
Weston	ACT	AU	Australian Capital Territory
Wright	ACT	AU	Australian Capital Territory
Yarralumla	ACT	AU	Australian Capital Territory
Abbotsbury	NSW	AU	New South Wales
Abbotsford	NSW	AU	New South Wales
Abercrombie	NSW	AU	New South Wales
Aberdare	NSW	AU	New South Wales
Aberdeen	NSW	AU	New South Wales
Aberglasslyn	NSW	AU	New South Wales
Abermain	NSW	AU	New South Wales
Acacia Gardens	NSW	AU	New South Wales
Adamstown	NSW	AU	New South Wales
Adamstown Heights	NSW	AU	New South Wales
Airds	NSW	AU	New South Wales
Albion Park	NSW	AU	New South Wales
Albion Park Rail	NSW	AU	New South Wales
Albury	NSW	AU	New South Wales
Albury Municipality	NSW	AU	New South Wales
Aldavilla	NSW	AU	New South Wales
Alexandria	NSW	AU	New South Wales
Alfords Point	NSW	AU	New South Wales
Allambie Heights	NSW	AU	New South Wales
Allawah	NSW	AU	New South Wales
Alstonville	NSW	AU	New South Wales
Ambarvale	NSW	AU	New South Wales
Anna Bay	NSW	AU	New South Wales
Annandale	NSW	AU	New South Wales
Annangrove	NSW	AU	New South Wales
Appin	NSW	AU	New South Wales
Arcadia	NSW	AU	New South Wales
Arcadia vale	NSW	AU	New South Wales
Argenton	NSW	AU	New South Wales
Armidale	NSW	AU	New South Wales
Arncliffe	NSW	AU	New South Wales
Artarmon	NSW	AU	New South Wales
Ashbury	NSW	AU	New South Wales
Ashcroft	NSW	AU	New South Wales
Ashfield	NSW	AU	New South Wales
Ashmont	NSW	AU	New South Wales
Ashtonfield	NSW	AU	New South Wales
Asquith	NSW	AU	New South Wales
Auburn	NSW	AU	New South Wales
Austinmer	NSW	AU	New South Wales
Austral	NSW	AU	New South Wales
Avoca Beach	NSW	AU	New South Wales
Avondale	NSW	AU	New South Wales
Balgowlah	NSW	AU	New South Wales
Balgowlah Heights	NSW	AU	New South Wales
Balgownie	NSW	AU	New South Wales
Ballina	NSW	AU	New South Wales
Balmain	NSW	AU	New South Wales
Balmain East	NSW	AU	New South Wales
Balranald	NSW	AU	New South Wales
Bangalow	NSW	AU	New South Wales
Bangor	NSW	AU	New South Wales
Banksia	NSW	AU	New South Wales
Bankstown	NSW	AU	New South Wales
Banora Point	NSW	AU	New South Wales
Bar Beach	NSW	AU	New South Wales
Barden Ridge	NSW	AU	New South Wales
Bardia	NSW	AU	New South Wales
Bardwell Park	NSW	AU	New South Wales
Bardwell Valley	NSW	AU	New South Wales
Bargo	NSW	AU	New South Wales
Barham	NSW	AU	New South Wales
Barnsley	NSW	AU	New South Wales
Barooga	NSW	AU	New South Wales
Barraba	NSW	AU	New South Wales
Barrack Heights	NSW	AU	New South Wales
Basin View	NSW	AU	New South Wales
Bass Hill	NSW	AU	New South Wales
Bateau Bay	NSW	AU	New South Wales
Batehaven	NSW	AU	New South Wales
Batemans Bay	NSW	AU	New South Wales
Bathurst	NSW	AU	New South Wales
Bathurst city centre	NSW	AU	New South Wales
Bathurst Regional	NSW	AU	New South Wales
Batlow	NSW	AU	New South Wales
Baulkham Hills	NSW	AU	New South Wales
Bay View	NSW	AU	New South Wales
Beacon Hill	NSW	AU	New South Wales
Beaumont Hills	NSW	AU	New South Wales
Beecroft	NSW	AU	New South Wales
Bega	NSW	AU	New South Wales
Bega Valley	NSW	AU	New South Wales
Belfield	NSW	AU	New South Wales
Bella Vista	NSW	AU	New South Wales
Bellambi	NSW	AU	New South Wales
Bellbird	NSW	AU	New South Wales
Bellevue Hill	NSW	AU	New South Wales
Bellingen	NSW	AU	New South Wales
Belmont	NSW	AU	New South Wales
Belmont North	NSW	AU	New South Wales
Belmont South	NSW	AU	New South Wales
Belmore	NSW	AU	New South Wales
Belrose	NSW	AU	New South Wales
Bensville	NSW	AU	New South Wales
Berala	NSW	AU	New South Wales
Beresfield	NSW	AU	New South Wales
Berkeley	NSW	AU	New South Wales
Berkeley Vale	NSW	AU	New South Wales
Berkshire Park	NSW	AU	New South Wales
Bermagui	NSW	AU	New South Wales
Berowra	NSW	AU	New South Wales
Berowra Heights	NSW	AU	New South Wales
Berridale	NSW	AU	New South Wales
Berrigan	NSW	AU	New South Wales
Berry	NSW	AU	New South Wales
Beverley Park	NSW	AU	New South Wales
Beverly Hills	NSW	AU	New South Wales
Bexley	NSW	AU	New South Wales
Bexley North	NSW	AU	New South Wales
Bidwill	NSW	AU	New South Wales
Bilambil Heights	NSW	AU	New South Wales
Bilgola Plateau	NSW	AU	New South Wales
Bingara	NSW	AU	New South Wales
Birchgrove	NSW	AU	New South Wales
Birmingham Gardens	NSW	AU	New South Wales
Birrong	NSW	AU	New South Wales
Blackalls Park	NSW	AU	New South Wales
Blackbutt	NSW	AU	New South Wales
Blackett	NSW	AU	New South Wales
Blackheath	NSW	AU	New South Wales
Blacksmiths	NSW	AU	New South Wales
Blacktown	NSW	AU	New South Wales
Blackwall	NSW	AU	New South Wales
Blair Athol	NSW	AU	New South Wales
Blakehurst	NSW	AU	New South Wales
Bland	NSW	AU	New South Wales
Blaxland	NSW	AU	New South Wales
Blayney	NSW	AU	New South Wales
Bligh Park	NSW	AU	New South Wales
Blue Bay	NSW	AU	New South Wales
Blue Haven	NSW	AU	New South Wales
Blue Mountains Municipality	NSW	AU	New South Wales
Boambee	NSW	AU	New South Wales
Boambee East	NSW	AU	New South Wales
Bogan	NSW	AU	New South Wales
Bogangar	NSW	AU	New South Wales
Boggabri	NSW	AU	New South Wales
Bolton Point	NSW	AU	New South Wales
Bolwarra Heights	NSW	AU	New South Wales
Bomaderry	NSW	AU	New South Wales
Bombala	NSW	AU	New South Wales
Bondi	NSW	AU	New South Wales
Bondi Beach	NSW	AU	New South Wales
Bondi Junction	NSW	AU	New South Wales
Bonnells Bay	NSW	AU	New South Wales
Bonnet Bay	NSW	AU	New South Wales
Bonny Hills	NSW	AU	New South Wales
Bonnyrigg	NSW	AU	New South Wales
Bonnyrigg Heights	NSW	AU	New South Wales
Bonville	NSW	AU	New South Wales
Booker Bay	NSW	AU	New South Wales
Booragul	NSW	AU	New South Wales
Boorowa	NSW	AU	New South Wales
Bossley Park	NSW	AU	New South Wales
Botany	NSW	AU	New South Wales
Botany Bay	NSW	AU	New South Wales
Bourke	NSW	AU	New South Wales
Bourkelands	NSW	AU	New South Wales
Bow Bowing	NSW	AU	New South Wales
Bowen Mountain	NSW	AU	New South Wales
Bowenfels	NSW	AU	New South Wales
Bowral	NSW	AU	New South Wales
Bowraville	NSW	AU	New South Wales
Bradbury	NSW	AU	New South Wales
Braidwood	NSW	AU	New South Wales
Branxton	NSW	AU	New South Wales
Breakfast Point	NSW	AU	New South Wales
Brewarrina	NSW	AU	New South Wales
Brighton-Le-Sands	NSW	AU	New South Wales
Bringelly	NSW	AU	New South Wales
Broadmeadow	NSW	AU	New South Wales
Broken Hill	NSW	AU	New South Wales
Broken Hill Municipality	NSW	AU	New South Wales
Bronte	NSW	AU	New South Wales
Brookvale	NSW	AU	New South Wales
Broulee	NSW	AU	New South Wales
Brunswick Heads	NSW	AU	New South Wales
Budgewoi	NSW	AU	New South Wales
Buff Point	NSW	AU	New South Wales
Bulahdelah	NSW	AU	New South Wales
Bullaburra	NSW	AU	New South Wales
Bulli	NSW	AU	New South Wales
Bundanoon	NSW	AU	New South Wales
Bundeena	NSW	AU	New South Wales
Bungarribee	NSW	AU	New South Wales
Bungendore	NSW	AU	New South Wales
Buronga	NSW	AU	New South Wales
Burradoo	NSW	AU	New South Wales
Burraneer	NSW	AU	New South Wales
Burrill Lake	NSW	AU	New South Wales
Burwood	NSW	AU	New South Wales
Busby	NSW	AU	New South Wales
Buttaba	NSW	AU	New South Wales
Buxton	NSW	AU	New South Wales
Byron Bay	NSW	AU	New South Wales
Byron Shire	NSW	AU	New South Wales
Bywong	NSW	AU	New South Wales
Cabarita	NSW	AU	New South Wales
Cabonne	NSW	AU	New South Wales
Cabramatta	NSW	AU	New South Wales
Cabramatta West	NSW	AU	New South Wales
Caddens	NSW	AU	New South Wales
Calala	NSW	AU	New South Wales
Callaghan	NSW	AU	New South Wales
Callala Bay	NSW	AU	New South Wales
Cambewarra Village	NSW	AU	New South Wales
Cambridge Gardens	NSW	AU	New South Wales
Cambridge Park	NSW	AU	New South Wales
Camden	NSW	AU	New South Wales
Camden Haven	NSW	AU	New South Wales
Camden South	NSW	AU	New South Wales
Cameron Park	NSW	AU	New South Wales
Cammeray	NSW	AU	New South Wales
Campbelltown	NSW	AU	New South Wales
Campbelltown Municipality	NSW	AU	New South Wales
Camperdown	NSW	AU	New South Wales
Campsie	NSW	AU	New South Wales
Canada Bay	NSW	AU	New South Wales
Canley Heights	NSW	AU	New South Wales
Canley Vale	NSW	AU	New South Wales
Canowindra	NSW	AU	New South Wales
Canterbury	NSW	AU	New South Wales
Canton Beach	NSW	AU	New South Wales
Cardiff	NSW	AU	New South Wales
Cardiff Heights	NSW	AU	New South Wales
